dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	20	4	23	65.61567345	382.0595598	68.92983007	361.614955	54.32453198	330.4868964	-9.680145828	325.0242902	515.1519288	220.3440359	542.4434169	187.1031333	636.8674835	-295.6276478	619.0689081	-361.3560521	-47.11352496	-1393.776354
passiflora	actinia		left	21	3	23	66.79650657	405.3995081	79.21675487	387.2233541	54.05753569	356.4465923	-4.399751835	323.2034946	557.140153	217.1841291	579.7095364	177.0758308	636.0627622	-331.0706493	622.726571	-409.217048	-26.63543854	-1274.308335
passiflora	actinia		left	22	2	23	13.60684938	442.7316955	24.83531983	410.6637589	14.77286609	358.826107	-42.86558497	363.4040822	596.8056898	141.3466514	626.1511164	65.35325364	588.7882332	-514.5998758	512.0414053	-597.2473559	-23.76562104	-675.9148049
passiflora	actinia		left	23	1	23	13.5570085	390.171343	15.23983126	362.4545211	14.5075321	285.2838765	-44.85513374	312.5423289	505.2409144	180.4274447	551.4194847	111.6444363	715.7755275	-281.3564521	704.8001934	-387.3332336	17.59465166	-1354.69276
passiflora	actinia		left	1	16	16	49.00099685	381.1386901	52.21175477	348.2893272	35.16950561	304.5486326	-31.78555895	307.6837749	469.4261223	248.8931572	497.3061092	190.5134382	658.3247701	-293.6839084	648.1563799	-381.0049702	-52.08569931	-1478.17302
passiflora	actinia		left	2	15	16	25.14536095	434.4965068	25.23109118	411.8261393	3.900078774	364.9230719	-40.39760369	373.9596133	534.380334	223.281713	571.0776185	159.1177752	519.6971319	-538.9346725	506.3203855	-621.4010572	76.45261759	-1060.447523
passiflora	actinia		left	3	14	16	13.70083532	404.0985756	20.66772081	389.1789388	3.671322546	364.7404591	-32.11722783	365.7837405	545.1628048	230.2560736	589.5417478	167.4257408	556.8737618	-411.5376389	541.2474196	-472.3083884	43.42584643	-1347.020604
passiflora	actinia		left	4	13	16	-26.40283746	303.4784382	-19.86766749	292.9525449	-12.49762371	261.6034962	-64.66186294	260.3750805	495.884767	254.2260246	540.7718253	210.9562571	675.5301999	-332.7227632	667.7041181	-419.7227279	157.7611356	-1465.258921
passiflora	actinia		left	5	12	16	-18.17363586	327.1901293	-17.21270045	307.6516061	-26.35214846	282.2870961	-56.58283126	290.9835531	478.5608529	242.3879909	515.1365883	199.9236515	670.0354246	-315.8772115	668.2769179	-404.3543046	76.49691409	-1449.339965
passiflora	actinia		left	6	11	16	-3.251295243	334.1050535	4.524069873	315.8392182	-9.22559627	282.6001809	-47.45534428	288.2013222	558.8885858	268.2178809	607.2372491	206.4269066	681.808208	-352.9596175	635.9076864	-446.6673862	112.2578272	-1357.943284
passiflora	actinia		left	7	10	16	18.95084158	344.4640925	21.93953444	329.4771503	6.827780701	294.7625272	-33.1010642	300.4505061	419.3020896	283.9144268	468.8506549	258.5417125	657.0187118	-331.77497	644.6046599	-417.2137175	5.481773496	-1483.02065
passiflora	actinia		left	8	9	16	52.9979533	356.1306492	57.00719239	340.0381915	43.71456434	313.4300595	4.284067707	311.3356249	421.366368	264.817464	474.2387749	215.1412006	671.2193532	-270.2232289	677.6399388	-355.422003	-43.10568741	-1400.584011
passiflora	actinia		left	9	8	16	22.6663728	417.0533991	30.33516923	399.8364789	0.674609828	397.898587	-33.77953298	407.4389022	517.5414122	187.814876	553.3120678	129.1570436	617.5736176	-449.9983545	566.5788547	-495.9684465	26.26562942	-1256.782101
passiflora	actinia		left	10	7	16	23.89906947	396.6192137	33.10386277	375.6739492	13.87346062	352.2456102	-25.83826682	356.5318381	457.8791148	223.26591	500.2235556	177.2874098	637.2941079	-367.2656508	634.167598	-415.1988117	-24.21403727	-1372.661142
passiflora	actinia		left	11	6	16	31.06080874	374.9661592	33.30794324	361.3899888	15.63463345	333.3592546	-20.62871659	336.3919361	468.1692816	228.3728035	507.7303999	161.282519	661.7854439	-372.8795502	634.6635833	-453.6891958	77.90554482	-1338.522241
passiflora	actinia		left	12	5	16	3.14958966	332.7498149	6.998548878	307.5279228	-11.97132956	274.3739148	-46.95003017	288.9714556	488.6172575	267.9083566	542.2420322	229.1010569	734.4938164	-428.8580943	729.7012326	-482.9872149	110.8060486	-1204.924457
passiflora	actinia		left	13	4	16	69.69734877	389.0000017	68.09929456	368.8787139	60.20720175	344.4930214	6.017892911	232.0718363	582.7663265	185.472605	606.5858191	145.4665635	688.3257089	-285.0465819	680.028884	-349.5011086	-80.21686268	-1123.66453
passiflora	actinia		left	14	3	16	-13.13956931	379.2996071	-8.189286315	355.6652381	-21.62239681	283.8384258	-59.98325731	271.2998138	544.0138563	225.899371	597.9195375	157.7679715	659.5508535	-387.3777142	668.5694794	-514.3051674	140.1167706	-1317.263067
