dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x1	y1	x2	y2	x3	y3	x4	y4	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11
passiflora	actinia		right	14	12	25	-66.7406915	408.7309471	-74.27921216	384.838565	-63.7168825	350.2852616	-24.73993085	341.9598157	-476.2540342	331.4520315	-532.3993364	290.0014048	-542.0791498	-486.1257762	-511.7347437	-545.6660524	4.296762651	-1306.820687
passiflora	actinia		right	15	11	25	-60.34550651	408.1452077	-77.9560716	388.5582409	-50.94017338	363.8363947	-1.761056158	350.0726829	-436.1410414	316.8712163	-511.2771558	266.9332234	-565.025351	-442.3963354	-534.7095748	-524.9437562	84.2390575	-1369.12208
passiflora	actinia		right	16	10	25	-31.02806539	392.4911428	-32.64055311	379.5219691	-31.25694558	350.4377975	9.197092651	359.1670636	-498.4634569	251.3478347	-526.9727902	211.6542283	-579.1787965	-440.9762765	-547.9253307	-492.3451001	27.13258089	-1331.548256
passiflora	actinia		right	17	9	25	-75.71124479	392.0161225	-83.20085786	371.0232758	-76.09677966	345.731813	-22.86452864	342.1180256	-452.4983258	274.8044805	-480.7773463	248.0558696	-606.8131699	-374.0925788	-572.1781144	-416.1385542	94.53622296	-1444.946345
passiflora	actinia		right	18	8	25	-31.83736293	353.7539097	-43.86919741	332.8405993	-32.51583418	308.4528668	16.59772393	301.4665854	-482.1687812	226.9062654	-503.7839706	192.074144	-604.9167048	-300.9368326	-591.8050546	-364.4137367	-2.990207963	-1580.249932
passiflora	actinia		right	19	7	25	-63.8605963	409.0097401	-66.9975178	390.561487	-59.66393909	346.5592052	-19.81694623	339.7549237	-417.8176516	346.5628953	-452.4564448	297.5517634	-470.9301983	-469.601418	-464.5106641	-521.6896902	6.086881905	-1489.39888
passiflora	actinia		right	20	6	25	-25.34735649	451.5771718	-32.62959661	436.5305125	-11.06437009	406.9033003	18.99680324	394.830524	-481.0242381	228.8842014	-510.2817797	178.6643798	-516.5206347	-496.7802525	-488.4689862	-546.2607328	14.8212776	-1309.832479
passiflora	actinia		right	21	5	25	-51.27132436	427.6185619	-55.23568757	401.9276459	-43.84033875	362.1000723	13.11918149	383.1613627	-533.0200608	120.1975524	-553.1901239	69.72715521	-522.2197032	-359.2976285	-512.871581	-417.4365718	-47.25482483	-1401.280241
passiflora	actinia		right	22	4	25	-59.63068512	385.6137901	-81.26261503	369.2919244	-46.68149768	353.4681599	-1.861516541	327.428788	-573.989102	198.8808324	-619.0355948	126.8788864	-650.2953238	-349.6737603	-618.3420663	-404.9298408	67.0982266	-1171.985426
passiflora	actinia		right	23	3	25	-41.75733969	345.4849657	-42.20625978	331.7992653	-28.52714172	297.2846371	15.30056754	263.7559072	-497.9865577	248.9139762	-552.7381358	205.2887125	-689.0357465	-317.5226816	-660.4901086	-410.6177315	67.66364428	-1270.517033
