family	dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	xA	yA	xB	yB	xC	yC	xD	yD	xE	yE	xF	yF	xG	yG	xH	yH	xI	yI
grapevine	NY_germplasm	Vitis_acerifolia	588378	2013	16	2	17	476.9417186	411.1515417	424.0681554	354.2503933	514.3826327	336.1561946	661.1698027	297.1096502	-770.1821417	645.5457632	-723.9764764	464.2714747	-765.3324422	-790.0269664	-413.7643067	-804.7413498	138.7899797	-1607.34039
grapevine	NY_germplasm	Vitis_acerifolia	588459	2013	6	9	14	482.2611758	406.9201918	467.4272217	375.1058707	480.4081463	352.2301904	526.5753135	343.5748099	-849.2993278	512.7568637	-647.7721253	432.8729952	-863.6110885	-966.3621833	-521.580769	-803.1140743	106.0534842	-1885.801163
grapevine	NY_germplasm	Vitis_acerifolia	588324	2016	11	1	11	526.7209053	490.4562757	482.1736931	470.592053	585.4815888	437.999635	677.6716898	407.6692133	-819.2962147	415.7013304	-870.1656955	165.6759635	-668.08388	-760.7145053	-488.1952769	-836.3704209	38.10485646	-1320.993957
grapevine	NY_germplasm	Vitis_acerifolia	588448	2013	14	1	14	540.5596318	350.7885871	482.4754245	300.8647489	527.0362847	241.1436856	616.9686763	186.439411	-976.688836	491.3387496	-800.4928654	360.2969412	-771.8078366	-826.9608746	-230.3584744	-544.8915361	173.0355311	-1465.663049
grapevine	NY_germplasm	Vitis_acerifolia	588448	2017	5	5	9	448.0309157	378.8536528	399.3225918	339.1313747	446.0221012	303.2409781	497.769538	278.7149327	-958.917167	425.7821724	-790.6718498	371.0741313	-628.1392758	-1048.943607	-414.0657262	-851.3628488	-114.6838726	-1887.001123
grapevine	NY_germplasm	Vitis_acerifolia	588144	2013	12	1	12	572.7830372	381.3678214	553.6735966	332.5279967	615.5530818	270.7720732	691.5834896	233.2005063	-1070.703599	419.0060372	-858.8866542	312.6636275	-841.509523	-806.3908892	-392.9363732	-667.4679521	54.24955283	-1419.68379
grapevine	NY_germplasm	Vitis_acerifolia	588459	2015	3	10	12	443.0290691	452.9247979	429.3571234	419.5095113	468.0361415	384.7894395	541.5810166	363.5122282	-856.0918271	315.3720346	-582.0303551	350.548577	-903.263167	-987.102084	-413.9951927	-616.199175	-10.33251816	-2131.10429
grapevine	NY_germplasm	Vitis_acerifolia	318684	2013	2	10	11	417.9674064	496.5412261	424.1746902	449.7104243	466.6269222	402.3606838	547.1119909	382.8825287	-788.4815587	276.5331868	-567.4794614	302.947652	-799.0497931	-1073.864311	-555.424983	-694.9949063	-213.0246349	-2031.773531
grapevine	NY_germplasm	Vitis_acerifolia	588144	2015	5	8	12	530.7159029	434.677132	525.4984493	394.5492442	575.9455542	376.6194059	630.3661996	363.3212984	-948.7153126	294.8026145	-734.5179655	233.1156902	-812.320464	-905.0311191	-371.3258261	-800.7554337	-322.8605736	-1645.895857
grapevine	NY_germplasm	Vitis_acerifolia	588448	2013	9	6	14	434.0942041	450.572421	421.763676	403.4251868	445.3338044	370.3041913	497.2867113	375.7960575	-846.0986358	365.3515766	-687.4278901	286.3707182	-751.1368534	-1018.156165	-441.6803596	-874.4744474	-229.5794319	-1894.458761
grapevine	NY_germplasm	Vitis_acerifolia	588378	2016	12	1	12	595.0274593	497.4214179	545.5158103	448.8387036	736.7346262	454.9593073	827.1943933	409.3782484	-933.223669	263.7630057	-799.9654293	167.2800725	-884.3384373	-742.997808	-446.371857	-656.2587257	-151.7668818	-1310.439999
grapevine	NY_germplasm	Vitis_acerifolia	588448	2013	7	8	14	472.2215249	373.0793648	436.0035135	343.8032147	453.2069932	297.8264865	508.3334946	301.2920686	-956.9292869	445.4508846	-773.7327098	372.7898212	-774.1280458	-1042.995652	-423.6390242	-863.5987628	-147.0874421	-1700.331967
grapevine	NY_germplasm	Vitis_acerifolia	588459	2013	8	7	14	526.4387133	398.8853662	517.3410299	373.8388745	530.4888544	343.2709708	583.3557613	325.3474591	-852.6033656	428.6172867	-659.2744819	370.5486878	-989.1143658	-864.6200873	-638.7265783	-739.2623364	331.726474	-1768.581558
grapevine	NY_germplasm	Vitis_acerifolia	588324	2015	9	2	10	516.5465981	482.8727392	516.5532924	453.2372352	616.7786299	435.3338478	656.3286414	423.5457125	-954.2093928	335.6241216	-645.2442626	230.4074483	-695.1243445	-814.0283366	-141.4401268	-500.7732315	-230.6691123	-1717.214288
grapevine	NY_germplasm	Vitis_acerifolia	588448	2013	13	2	14	550.5835248	530.0074654	522.7693531	466.3391468	573.0314176	409.6115257	649.8548878	402.3505643	-838.5610252	314.6703882	-573.7631031	206.4722842	-753.0309432	-960.1632833	-206.4331683	-650.3623401	-523.0030385	-1471.363639
grapevine	NY_germplasm	Vitis_acerifolia	588378	2016	9	4	12	651.8995879	432.5549725	599.3693688	412.4053648	632.1134856	385.5863906	666.1058548	361.0474416	-950.5385259	286.4732508	-763.001034	190.4708652	-771.5623264	-811.9122797	-447.8322	-695.6948775	-58.87580988	-1568.902606
grapevine	NY_germplasm	Vitis_acerifolia	588325	2015	6	4	9	505.6550484	511.8072	504.6489102	473.7747	531.7702663	442.3962	566.7768999	431.5887	-819.8255873	356.6167	-603.0329206	259.0129	-861.5916	-1059.127	-241.1333	-774.4659	-344.263	-1652.492
grapevine	NY_germplasm	Vitis_acerifolia	588393	2017	3	5	7	445.5729	386.8942	335.1535	339.0091	464.1712	297.2849	534.5108	226.737	-743.6306	590.619	-657.6979	463.4486	-814.2582	-910.5872	-498.3383	-813.3287	135.5033	-2018.837
grapevine	NY_germplasm	Vitis_acerifolia	588442	2015	9	5	13	514.6069	419.415	500.2409	393.5056	527.8476	375.0701	564.1476	356.7721	-860.1688	462.8323	-694.0218	396.5557	-773.5613	-980.6762	-381.3829	-616.7974	65.47569	-1898.971
grapevine	NY_germplasm	Vitis_acerifolia	588459	2017	3	9	11	448.8139	440.436	391.684	396.2199	453.1684	370.375	504.2232	350.2871	-768.2149	420.7535	-639.1572	309.8125	-998.2622	-946.4511	-422.4885	-691.7113	70.89765	-2127.254
grapevine	NY_germplasm	Vitis_acerifolia	318684	2013	10	2	11	494.973	547.8808	469.1313	512.7018	534.2398	478.0663	607.8371	462.9487	-833.0346	101.5243	-617.1691	99.44561	-778.057	-572.6854	-291.9398	-597.3232	-303.8346	-1879.055
grapevine	NY_germplasm	Vitis_acerifolia	588144	2015	4	9	12	541.4869	407.9306	530.503	371.9369	575.2918	338.9182	611.1229	320.0626	-882.8449	315.7559	-636.9673	310.9443	-1048.033	-836.8784	-480.304	-676.6135	140.8415	-1821.071
grapevine	NY_germplasm	Vitis_acerifolia	318684	2017	6	5	10	527.5605	503.7939	464.2907	461.4784	517.0547	430.9983	576.2265	405.3098	-790.8668	339.6586	-638.1171	289.0324	-968.6001	-852.2605	-450.7779	-749.7874	12.33161	-1977.03
grapevine	NY_germplasm	Vitis_acerifolia	318684	2016	6	6	11	511.2991	403.8765	384.8392	363.679	508.7991	360.8545	569.5412	343.4234	-879.0381	473.2119	-667.2069	335.5508	-909.1067	-916.8334	-477.3788	-799.5119	-27.65116	-1966.727
grapevine	NY_germplasm	Vitis_acerifolia	1583	2017	5	1	5	572.288	351.9717	334.1391	270.6662	583.7359	236.0568	680.081	239.6754	-746.1523	587.6389	-710.6182	472.6287	-915.9	-445.9765	-211.0716	-474.8385	281.5706	-1767.343
grapevine	NY_germplasm	Vitis_acerifolia	588325	2013	9	4	12	586.9801	370.3976	548.8603	347.6448	578.6036	314.1698	617.1882	283.7302	-981.6511	374.7609	-755.1912	286.1349	-1011.39	-860.8363	-361.8082	-654.9143	77.3782	-1565.908
grapevine	NY_germplasm	Vitis_acerifolia	588324	2015	5	6	10	519.9447	436.4107	512.7747	404.7958	560.21	388.6779	612.8611	373.4424	-941.1001	388.6431	-685.3137	314.3313	-794.3067	-945.9639	-325.9479	-689.3866	-184.4662	-1826.982
grapevine	NY_germplasm	Vitis_acerifolia	588141	2015	11	4	14	619.0472	385.0694	599.4794	352.5369	686.05	334.9177	737.3453	314.4113	-1030.984	308.677	-773.0958	212.7792	-818.6261	-874.2454	-225.3955	-469.6438	-82.49596	-1283.62
grapevine	NY_germplasm	Vitis_acerifolia	318684	2015	5	10	14	522.7898	422.4767	500.8463	396.1442	512.4262	363.4065	559.489	346.8883	-885.7679	394.276	-618.9685	359.9705	-960.8908	-1021.866	-452.6433	-770.0442	-3.558529	-1814.444
grapevine	NY_germplasm	Vitis_acerifolia	588459	2015	11	2	12	529.2685	428.6477	503.7703	401.8093	529.1396	361.8534	575.5827	348.5418	-913.2039	426.4818	-681.1274	333.1903	-923.4312	-1028.022	-341.534	-644.6709	-71.12325	-1696.647
grapevine	NY_germplasm	Vitis_acerifolia	318684	2017	10	1	10	461.5192	606.4789	383.7732	473.2227	480.2842	379.7533	623.0088	340.8373	-749.7976	480.8595	-695.9963	341.5814	-716.3148	-945.2248	-488.8942	-934.857	40.54096	-1406.779
grapevine	NY_germplasm	Vitis_acerifolia	588141	2013	11	1	11	493.6119	482.5799	445.6132	433.0256	450.9248	358.3947	555.9441	342.3855	-717.9734	570.2233	-635.6662	474.7746	-720.7551	-881.348	-337.866	-816.1568	37.13601	-1452.898
grapevine	NY_germplasm	Vitis_acerifolia	318684	2013	8	4	11	572.625	381.1688	547.0682	353.5598	574.8122	323.0969	618.2376	307.9913	-1056.383	407.438	-781.895	367.0713	-1005.171	-954.1128	-349.6984	-694.1216	183.1991	-1018.431
grapevine	NY_germplasm	Vitis_acerifolia	318684	2015	14	1	14	623.6459	366.7328	542.0196	339.0186	603.6197	286.9303	652.3902	253.1902	-1108.271	422.9938	-874.2125	322.3559	-859.7255	-902.6344	-428.5706	-668.7686	99.84765	-1366.69
grapevine	NY_germplasm	Vitis_acerifolia	588459	2015	4	9	12	518.5275	431.0437	472.6271	392.1582	518.5598	371.4152	564.2456	344.8739	-918.8142	415.3411	-610.451	373.5924	-850.6195	-936.4967	-495.3088	-714.4392	34.70013	-1967.481
grapevine	NY_germplasm	Vitis_acerifolia	588448	2016	5	8	12	487.8555	393.6928	456.5188	358.5246	481.0683	323.3886	539.6886	318.0108	-928.9253	398.6423	-779.3935	346.7366	-668.3425	-1034.928	-433.418	-772.0016	-105.8611	-1874.971
grapevine	NY_germplasm	Vitis_acerifolia	588325	2013	5	8	12	536.6238	345.5775	475.3746	328.628	552.6489	297.8698	607.4161	287.5766	-869.6629	531.8303	-685.2343	436.317	-982.8711	-1033.11	-621.3535	-780.8151	322.3795	-1673.752
